"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T17:30Z[UTC]","","17.68","29.58","101.58","1023.73","0.5832","4.2","1.3","1.6","0.08","259.0","29.0","39.0","159.0","18.0","94.0","0.0","1.09200005E16","1.086","0.3","313.0","","3.85E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T18:00Z[UTC]","","17.68","29.57","101.47","1023.72","0.576","4.2","1.5","2.4","0.18","237.0","36.0","51.0","145.0","18.0","93.0","0.0","1.06799999E16","1.176","0.3","302.0","","3.98E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T18:30Z[UTC]","","17.69","29.56","101.44","1023.72","0.5904","4.5","1.7","2.1","0.19","260.0","39.0","54.0","156.0","18.1","92.0","0.0","8.64E15","1.086","0.3","307.0","","3.85E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T19:00Z[UTC]","","17.67","29.55","101.4","1023.71","0.5688","4.7","1.9","2.5","0.2","270.0","42.0","59.0","148.0","18.2","89.0","0.0","1.36800002E16","1.176","0.3","300.0","","3.91E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T19:30Z[UTC]","","17.68","29.56","101.38","1023.72","0.54","4.8","2.0","2.8","0.21","286.0","39.0","51.0","125.0","18.1","91.0","0.0","1.45799999E16","1.086","0.3","287.0","","3.91E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T20:00Z[UTC]","","17.69","29.6","101.33","1023.75","0.6048","4.7","2.0","2.9","0.25","297.0","43.0","55.0","170.0","18.1","93.0","0.0","8.2800001E15","1.086","0.3","331.0","","4.13E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T20:30Z[UTC]","","17.72","29.62","101.32","1023.77","0.6192","4.5","2.2","3.6","0.31","324.0","45.0","58.0","177.0","18.2","91.0","","4.9199999E15","1.086","0.4","339.0","","3.93E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T21:00Z[UTC]","","17.75","29.65","101.3","1023.79","0.6264","4.7","2.1","3.4","0.18","298.0","39.0","52.0","165.0","18.2","92.0","","2.03999994E15","1.086","0.4","329.0","","6.2E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T21:30Z[UTC]","","17.78","29.68","101.270004","1023.81","0.6192","5.1","2.5","3.9","0.33","318.0","47.0","61.0","169.0","18.3","89.0","","1.56000004E15","1.086","0.4","332.0","","3.89E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T22:00Z[UTC]","","17.76","29.72","101.259995","1023.85","0.6048","5.0","2.5","3.6","0.34","336.0","51.0","65.0","153.0","18.0","90.0","0.0","9.6000002E14","1.086","0.4","321.0","","3.66E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T22:30Z[UTC]","","17.76","29.74","101.270004","1023.86","0.5832","5.0","2.4","3.2","0.36","340.0","50.0","69.0","149.0","18.0","90.0","0.0","5.39999997E14","0.9955","0.4","323.0","","3.91E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T23:00Z[UTC]","","17.73","29.76","101.18","1023.88","0.5904","5.0","2.8","4.6","0.41","336.0","50.0","69.0","149.0","17.8","94.0","0.0","0.0","1.086","0.4","324.0","","3.85E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-26T23:30Z[UTC]","","17.72","29.76","101.159996","1023.88","0.5976","5.4","2.9","5.5","0.4","350.0","53.0","68.0","207.0","17.8","89.0","0.0","","1.086","0.4","25.0","","5.11E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T00:00Z[UTC]","","17.72","29.76","101.159996","1023.88","0.5976","5.1","2.8","4.2","0.23","6.0","49.0","70.0","131.0","17.6","93.0","1.0","","1.086","0.4","308.0","","4.04E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T00:30Z[UTC]","","17.69","29.77","101.2","1023.89","0.5976","5.5","3.2","4.2","0.39","359.0","53.0","69.0","177.0","17.6","93.0","0.0","","1.086","0.4","3.0","","5.48E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T01:00Z[UTC]","","17.69","29.77","101.11","1023.89","0.5976","5.6","3.2","4.4","0.37","7.0","50.0","69.0","178.0","17.4","100.0","","","1.086","0.4","2.0","","3.93E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T01:30Z[UTC]","","17.68","29.79","101.090004","1023.9","0.5976","5.9","3.1","5.4","0.31","24.0","49.0","61.0","158.0","17.4","100.0","","","1.086","0.3","345.0","","5.58E-4"
