"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T01:30Z[UTC]","","16.34","30.36","101.409996","1022.11","0.5544","4.5","0.7","1.1","","","14.0","18.0","148.0","15.2","90.0","0.0","0.0","5.28","","44.0","","0.001149"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T02:00Z[UTC]","","15.98","30.32","101.409996","1022.16","0.5616","4.7","0.6","1.0","","","12.0","14.0","158.0","15.2","90.0","0.0","0.0","5.38","","51.0","","0.001219"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T02:30Z[UTC]","","16.03","30.32","101.409996","1022.15","0.5544","5.0","0.7","1.1","","","12.0","16.0","153.0","15.4","90.0","0.0","0.0","5.38","","54.0","","0.001196"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T03:00Z[UTC]","","16.08","30.31","101.39","1022.13","0.5472","4.6","0.6","1.0","","","13.0","16.0","152.0","15.3","91.0","0.0","0.0","5.38","","56.0","","0.00119"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T03:30Z[UTC]","","16.0","30.3","101.37","1022.14","0.5472","4.7","0.7","1.1","","","13.0","17.0","161.0","15.3","91.0","0.0","0.0","5.47","","60.0","","0.001222"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T04:00Z[UTC]","","15.91","30.29","101.38","1022.15","0.5472","4.7","0.7","1.1","","","15.0","20.0","166.0","15.5","91.0","0.0","0.0","5.47","","63.0","","0.001224"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T04:30Z[UTC]","","15.75","30.29","101.38","1022.19","0.5544","4.6","0.6","1.0","","","17.0","21.0","179.0","15.5","91.0","0.0","0.0","5.56","","66.0","","0.001271"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T05:00Z[UTC]","","15.75","30.3","101.37","1022.19","0.5544","4.5","0.6","0.9","","","12.0","16.0","192.0","15.7","91.0","0.0","0.0","5.47","","70.0","","0.001255"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T05:30Z[UTC]","","15.83","30.3","101.37","1022.17","0.5472","4.5","0.6","0.9","","","13.0","17.0","184.0","15.7","91.0","0.0","0.0","5.56","","70.0","","0.001228"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T06:00Z[UTC]","","15.65","30.3","101.37","1022.22","0.5472","4.6","0.6","0.8","","","12.0","15.0","200.0","15.9","91.0","0.0","0.0","5.56","","77.0","","0.001253"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T06:30Z[UTC]","","15.77","30.3","101.38","1022.19","0.5472","4.3","0.6","1.0","","","13.0","17.0","198.0","16.0","91.0","0.0","0.0","5.56","","83.0","","0.00121"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T07:00Z[UTC]","","15.73","30.32","101.38","1022.22","0.5472","4.7","0.6","1.0","","","13.0","18.0","188.0","15.9","91.0","0.0","0.0","5.56","","91.0","","0.001201"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T07:30Z[UTC]","","15.37","30.43","101.340004","1022.38","0.5184","4.6","0.6","0.9","","","12.0","17.0","168.0","15.8","91.0","0.0","0.0","5.47","","103.0","","0.00111"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T08:00Z[UTC]","","15.35","30.47","101.35","1022.41","0.504","4.4","0.6","1.1","","","15.0","19.0","174.0","16.0","91.0","0.0","0.0","5.38","","105.0","","0.001069"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T08:30Z[UTC]","","15.4","30.55","101.35","1022.47","0.4896","4.6","0.6","0.9","","","17.0","22.0","164.0","16.0","91.0","0.0","1.20000002E14","5.28","","52.0","","9.801E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T09:00Z[UTC]","","15.33","30.61","101.31","1022.52","0.5112","4.4","0.6","1.0","","","22.0","29.0","168.0","16.1","91.0","0.0","7.2E14","5.19","","36.0","","9.783E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T09:30Z[UTC]","","15.3","30.64","101.3","1022.55","0.5328","4.2","0.6","0.8","","","25.0","35.0","159.0","16.1","91.0","0.0","2.45999996E15","5.19","","309.0","","0.001014"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T10:00Z[UTC]","","15.31","30.66","101.31","1022.57","0.4968","3.7","0.6","1.3","","","19.0","28.0","173.0","16.1","91.0","0.0","6.4200001E15","5.01","","334.0","","0.001009"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T10:30Z[UTC]","","15.27","30.67","101.32","1022.58","0.4896","3.5","0.6","1.2","","","22.0","29.0","182.0","16.1","90.0","0.0","7.9799998E15","4.91","","342.0","","9.837E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T11:00Z[UTC]","","15.27","30.68","101.32","1022.59","0.4032","3.4","0.6","0.9","","","28.0","38.0","168.0","16.1","89.0","0.0","1.62000003E16","4.82","","332.0","","9.73E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T11:30Z[UTC]","","15.34","30.71","101.32","1022.6","0.3888","3.5","0.7","1.0","","","28.0","42.0","172.0","16.1","89.0","0.0","1.65600002E16","4.82","","333.0","","9.676E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T12:00Z[UTC]","","15.36","30.71","101.259995","1022.6","0.288","3.6","0.8","1.6","","","30.0","40.0","174.0","15.6","90.0","0.0","3.17399994E16","4.82","","332.0","","9.801E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T12:30Z[UTC]","","15.36","30.68","101.28","1022.57","0.3096","3.4","0.8","1.4","","","28.0","37.0","178.0","15.9","89.0","0.0","2.79600009E16","4.91","","346.0","","9.997E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T13:00Z[UTC]","","15.36","30.65","101.29","1022.54","0.3168","3.5","0.9","1.4","","","32.0","42.0","172.0","15.9","88.0","0.0","2.63399993E16","4.91","","350.0","","9.997E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T13:30Z[UTC]","","15.35","30.56","101.31","1022.48","0.3456","3.5","0.8","1.3","","","33.0","39.0","181.0","15.7","89.0","0.0","2.17199997E16","5.1","","5.0","","0.00105"
